seizure_id;species_observed;species_M1;species_M2;species_M3;species_regression_based_estimate;species_best_regression_model;Phataginus_tricuspis_lineage_observed;Phataginus_tricuspis_lineage_M1;Phataginus_tricuspis_lineage_M2;Phataginus_tricuspis_lineage_M3;Phataginus_tricuspis_lineage_regression_based_estimate;best regression model;haplotypes_observed;haplotypes_M1;haplotypes_M2;haplotypes_M3;haplotypes_regression_based_estimate;haplotypes_best_regression_model;;;;;;;;;;;;;
S1;2;2;2;2;2,08;hyperbola;2;2;2;2;2,09;Phataginus_tricuspis_lineage_hyperbola;12;12,8;15,3;16,41;16,12;hyperbola;105;;;;;;;;;;;;
S2;2;2;2;2;2,07;hyperbola;2;2;2;2;2,09;hyperbola;20;24,55;45,32;73,3;35,98;hyperbola;101,2;;;;;;;;;;;;
S3;2;2;2;2;2,08;hyperbola;2;2,04;3,02;3,98;1,76;linear;12;13,5;23,56;36,09;16,32;hyperbola;35,8;;;;;;;;;;;;
S4;1;1;1;1;1;linear;2;2;2;2;2,08;hyperbola;11;11,96;22,46;35,51;15,46;hyperbola;56;;;;;;;;;;;;
S5;2;2;2;2;2,24;power;2;2;2;2;2;exponential;18;21,35;33,47;45,73;30,3;hyperbola;103,8;;;;;;;;;;;;
S6;2;2,04;3,02;3,98;1,74;linear;2;2;2;2;1,99;exponential;18;22,21;52,78;113,53;31,06;hyperbola;43,12;;;;;;;;;;;;
S7;2;2;2;2;2,18;linear;2;2;2;2;2,12;logarithmic;21;27,53;68,25;155,62;40,15;hyperbola;60;;;;;;;;;;;;
S8;2;2,04;3,02;3,98;1,92;linear;2;2;2;2;2,1;linear;7;7,4;20,65;50,04;11,52;hyperbola;50,4;;;;;;;;;;;;
S9;1;1;1;1;1;linear;2;2;2;2;2,7;power;14;16;32,19;56,66;20,17;hyperbola;240;;;;;;;;;;;;
S10;1;1;1;1;1;linear;1;1;1;1;1;linear;6;6;6;6;7,65;hyperbola;50;;;;;;;;;;;;
S11;2;2;2;2;2,02;power;2;2;2;2;2;exponential;15;18,93;52,53;136,79;16,19;power;59,1;;;;;;;;;;;;
S12;2;2,04;3,02;3,98;3,15;linear;1;1;1;1;1;linear;14;16,68;43,82;105,44;23,57;power;120,4;;;;;;;;;;;;
S13;2;2;2;2;2,24;linear;2;2;2;2;2,07;hyperbola;23;31,98;92,18;247,4;48,72;hyperbola;61,4;;;;;;;;;;;;
S14;2;2,04;3,02;3,98;1,97;linear;2;2;2;2;2;exponential;22;27,5;41,5;55,64;38,51;hyperbola;53,3;;;;;;;;;;;;
S15;2;2;2;2;2,08;hyperbola;2;2,04;3,02;3,98;2,26;linear;17;20,26;45,78;91,46;29,54;hyperbola;61,52;;;;;;;;;;;;
S16;2;2;2;2;2,08;hyperbola;1;1;1;1;1;linear;15;16,84;23,01;27,74;21;hyperbola;60,8;;;;;;;;;;;;
S17;3;3;3;3;3,7;logarithmic;3;3,07;3,57;3,82;3,62;logarithmic;23;30,85;52,26;80,15;42,49;hyperbola;187,8;;;;;;;;;;;;
S18;2;2;2;2;1,99;exponential;2;2,05;3,02;3,97;2,1;linear;18;21,91;40,75;67,4;28,76;hyperbola;44;;;;;;;;;;;;
S19;1;1;1;1;1;power;2;2;2;2;2,08;hyperbola;22;30,19;94,99;281,24;17,88;power;44;;;;;;;;;;;;
S20;3;3,06;4,81;6,4;17,22;linear;2;2;2;2;2,67;logarithmic;15;17,67;40,38;81,68;25,73;hyperbola;428;;;;;;;;;;;;
S21;3;3;3;3;3,22;hyperbola;1;1;1;1;1;linear;9;9,55;15,56;21,35;11,44;hyperbola;2000;;;;;;;;;;;;
S22;2;2;2;2;3,29;logarithmic;2;2,04;3,02;3,98;96,74;linear;16;18,84;35,32;57,97;25,45;hyperbola;4680;;;;;;;;;;;;
S23;3;3,05;4,73;6,2;3,61;power;1;1;1;1;1;linear;15;18,59;50,36;127,95;26,63;power;134;;;;;;;;;;;;
S24;2;2,04;3,02;3,98;3,87;linear;1;1;1;1;1;linear;16;18,56;31,89;48,13;24,02;hyperbola;166,4;;;;;;;;;;;;
S25;2;2,04;3,02;3,98;106,12;linear;2;2;2;2;2;exponential;28;42,4;70,5;107,17;65,21;hyperbola;5560;;;;;;;;;;;;
S26;1;1;1;1;1;linear;1;1;1;1;1;linear;11;12,06;19,58;27,69;13,81;hyperbola;146;;;;;;;;;;;;
S27;1;1;1;1;1;linear;1;1;1;1;1;linear;16;19,48;39,33;71,98;24,88;hyperbola;4006;;;;;;;;;;;;
S28;2;2;2;2;2,07;hyperbola;1;1;1;1;1;linear;21;29,62;77,25;190,16;41,64;hyperbola;8040;;;;;;;;;;;;
S29;1;1;1;1;1;linear;1;1;1;1;1;linear;14;16,38;41,41;93,96;596,71;power;14652,4;;;;;;;;;;;;
S30;1;1;1;1;1;linear;3;3;3;3;2,99;exponential;26;39;83,62;167,3;55,57;hyperbola;4240;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;45590,44;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
